CT_ID_10,TotalPop,PopDen,SexRatio,AgeU18,Age1834,Age3564,AgeO65,ForBorn,White,Black,Asian,Hispanic,TwoOrMore,EthHet,MedHouseIncome,PubAssist,GINI,FamPovPer,UnempRate,TotalHouseH,FamHousePer,FemHeadPer,SameSexCoupPer,GrandHeadPer,LessThanHS,HSGrad,SomeColl,Bach,Master,Prof,Doc,CommuteLess10,Commute1030,Commute3060,Commute6090,CommuteOver90,ByAuto,ByPubTrans,ByBike,ByWalk,TotalHouseUnits,VacantUnitPer,RentersPer,HomeOwnPer,MedGrossRent,MedHomeVal,MedYrBuiltRaw,MedYrBuilt,MedYrMovedInraw,MedYrRentMovedIn,MedYrOwnMovedIn
25009209100,6676,1562.522959,1.131545338,0.188286399,0.19397843,0.427201917,0.190533253,0.094517675,0.882115039,0.032055123,0.047183942,0.034002397,0.004643499,0.21746304,103346,0.02004008,0.4166,0.016039823,0.061995311,2495,0.724649299,0.068584071,0.207920792,0.03539823,0.041205412,0.22099221,0.310783108,0.245387454,0.124436244,0.054530545,0.002665027,0.093542547,0.444779722,0.303560652,0.104103802,0.054013277,0.893231379,0.028603795,0,0.010761824,2687,0.071455154,0.226452906,0.773547094,1528,545000,1963,1960 to 1969,2000,2012,1994
25009209200,5813,1036.177254,0.914059928,0.254945811,0.100464476,0.443316704,0.201273009,0.075176329,0.937381731,0.001032169,0.04335111,0.008945467,0.009289523,0.119355086,143750,0.004136505,0.4106,0.006146281,0.075190355,1934,0.841261634,0.040565458,0.727272727,0,0.030111336,0.193825911,0.191548583,0.299595142,0.210273279,0.053643725,0.021002024,0.048789572,0.467411546,0.317690875,0.152327747,0.013780261,0.896611946,0.025847014,0.003143556,0.010827803,2042,0.052889324,0.049120993,0.950879007,1418,632400,1964,1960 to 1969,2001,2008,2000
25009210100,6519,2598.975015,0.887923545,0.159380273,0.176407424,0.462954441,0.201257862,0.067341617,0.930971008,0.005982513,0,0.055223194,0.007669888,0.130207591,99023,0.002040816,0.4064,0.018943743,0.040961491,2450,0.711020408,0.081515499,0,0,0.056489168,0.290949585,0.306134845,0.244988864,0.080380644,0.012958089,0.008098805,0.075309306,0.457235073,0.330016138,0.123184508,0.014254976,0.940395627,0.006507028,0,0.004164498,2527,0.030470914,0.044489796,0.955510204,,401600,1967,1960 to 1969,1996,2006,1995
25009210200,5296,2124.962277,1.003783579,0.153134441,0.165407855,0.427681269,0.253776435,0.060989426,0.961669184,0.007364048,0.001321752,0.010385196,0.009063444,0.075028551,100147,0.026422764,0.3833,0.045953361,0.012617159,1968,0.740853659,0.093278464,0.068965517,0,0.081967213,0.290727459,0.28227459,0.240522541,0.089651639,0.012807377,0.00204918,0.06501182,0.535855004,0.288022065,0.10323089,0.007880221,0.890405904,0.045756458,0,0.000369004,1977,0.004552352,0.028963415,0.971036585,,379200,1966,1960 to 1969,1996,2011,1995
25009210300,8772,2087.560656,1.347965739,0.124601003,0.240538076,0.280665755,0.354195166,0.108983128,0.90880073,0.015845873,0.030209758,0.014591883,0.018125855,0.17270459,53101,0.016445866,0.4529,0.03443259,0.050097276,4378,0.47099132,0.081959263,0,0.028612997,0.030699339,0.336178414,0.229212555,0.202918502,0.12844163,0.048182819,0.02436674,0.100103734,0.576763485,0.220176349,0.080912863,0.022043568,0.938537344,0.056794606,0,0,4805,0.088865765,0.467565098,0.532434902,1966,319600,1993,1990 to 1999,2007,2012,1998
25009210400,7067,2492.520476,1.015687393,0.17334088,0.198811377,0.427904344,0.199943399,0.153388991,0.850290081,0.056601104,0.028583557,0.064525258,0,0.268822565,69143,0.054129077,0.4514,0.045075125,0.090220049,2882,0.62352533,0.212020033,0.033333333,0,0.102633617,0.335592564,0.263168087,0.194810225,0.075135554,0.010844307,0.017815647,0.145991561,0.461322082,0.28045007,0.075386779,0.036849508,0.906582901,0.030865884,0,0.026768642,2926,0.015037594,0.359472588,0.640527412,1288,333900,1962,1960 to 1969,2001,2010,1996
25009210500,6295,3587.408376,1.012468031,0.185861795,0.201906275,0.438602065,0.173629865,0.111517077,0.935345512,0.004130262,0.012708499,0.037648928,0.010166799,0.123532766,80040,0,0.3383,0.03708134,0.052869288,2349,0.711792252,0.140550239,0,0,0.094898641,0.274225885,0.363332591,0.192916017,0.056137224,0.003787035,0.014702606,0.172393539,0.502496329,0.253450808,0.044346549,0.027312775,0.89133543,0.026308264,0,0.037460681,2479,0.0524405,0.117071094,0.882928906,1159,358700,1960,1960 to 1969,2000,2012,1999
25009210600,5026,4448.549125,1.051428571,0.26959809,0.243732591,0.357142857,0.129526462,0.18304815,0.65161162,0.045165141,0.003780342,0.280939117,0.01850378,0.494421329,58977,0.03633218,0.4057,0.066718386,0.106077348,1734,0.743367935,0.308766486,0.068376068,0.043444531,0.149618806,0.331003812,0.287801779,0.166772554,0.047331639,0.005400254,0.012071156,0.113059529,0.542685741,0.273650208,0.043377942,0.027226581,0.847950639,0.034376377,0,0.010577347,1786,0.029115342,0.411188005,0.588811995,1244,326900,1949,1940 to 1949,2003,2011,1993
25009210700,4253,12285.69708,1.186632391,0.213731484,0.271573007,0.421114507,0.093581002,0.251587115,0.697390078,0.030566659,0.006818716,0.206677639,0.040912297,0.469950618,47662,0.058012636,0.4438,0.116122841,0.060435133,1741,0.598506605,0.277351248,0.076923077,0.042226488,0.138402242,0.378766643,0.265592151,0.148213034,0.058864751,0.010161177,0,0.054570896,0.613339552,0.259794776,0.052238806,0.02005597,0.831261101,0.058614565,0.01642984,0.027975133,1816,0.041299559,0.607696726,0.392303274,1028,267600,1939,Prior to 1940,2008,2011,2002
25009210800,4826,13544.09051,1.200638395,0.19830087,0.204102777,0.435142976,0.162453378,0.340240365,0.737463738,0.01098218,0.031496063,0.179444675,0.015955242,0.422834233,36860,0.042155585,0.4302,0.179741807,0.0176,2301,0.437635811,0.316782522,0,0.023833168,0.141522785,0.515425984,0.178601755,0.144353241,0.011038777,0.005377866,0.003679592,0.148148148,0.478668542,0.299578059,0.053914674,0.019690577,0.830429239,0.011899703,0,0.039949001,2402,0.042048293,0.706214689,0.293785311,920,262800,1939,Prior to 1940,2009,2011,2004
25009210900,4181,7126.66077,1.032571706,0.216216216,0.164314757,0.426692179,0.192776848,0.214063621,0.86271227,0.005979431,0.01124133,0.093518297,0.023678546,0.246819747,64828,0,0.4571,0.050770626,0.059233449,1701,0.648442093,0.157751587,0.105263158,0.01631913,0.139885944,0.279771889,0.29553841,0.227104998,0.05434418,0,0.003354579,0.119902913,0.565048544,0.237378641,0.051941748,0.025728155,0.906767629,0.009465215,0.000473261,0.005679129,1800,0.055,0.373309818,0.626690182,891,335200,1944,1940 to 1949,2004,2009,2000
25009211100,4152,2810.390234,1.054428501,0.186657033,0.184489403,0.372109827,0.256743738,0.103564547,0.899325626,0.001445087,0.03588632,0.057803468,0.003131021,0.186582261,75156,0.033736474,0.4552,0.049756098,0.040913416,1571,0.652450668,0.141463415,0,0,0.10157001,0.289009933,0.277475168,0.212111503,0.099967959,0.016340916,0.003524511,0.108427544,0.454265159,0.271839671,0.093011305,0.072456321,0.926299849,0.046441191,0,0.009591116,1601,0.018738289,0.351368555,0.648631445,1084,354600,1959,1950 to 1959,2004,2010,2001
25009211200,5868,3889.835447,1.147877013,0.191717791,0.230913429,0.387184731,0.190184049,0.06595092,0.93200409,0.02198364,0,0.023346967,0.022665303,0.130340015,62958,0.017782823,0.3882,0.020361991,0.029765156,2643,0.501702611,0.189291101,0,0.019607843,0.046675774,0.266848816,0.281420765,0.269808743,0.112932605,0.006602914,0.015710383,0.130081301,0.464920205,0.283649503,0.081601927,0.039747064,0.878245817,0.014137334,0.008944028,0.052510098,2779,0.048938467,0.412788498,0.587211502,1169,329700,1948,1940 to 1949,2004,2010,2000
25009211300,7139,2228.101563,1.112130178,0.197086427,0.176915534,0.408320493,0.217677546,0.04692534,0.955736097,0.000700378,0.004762572,0.026614372,0.010085446,0.085837015,87923,0.006349206,0.3916,0.033333333,0.087136929,2520,0.773809524,0.198974359,0,0.007692308,0.044776119,0.24171351,0.276410157,0.222136073,0.159720876,0.020740454,0.034502811,0.140724947,0.541882425,0.204995431,0.091989034,0.020408163,0.92451743,0.017574186,0,0.003745318,2577,0.022118743,0.147222222,0.852777778,1367,392400,1965,1960 to 1969,1998,2011,1995
25009211401,4240,1397.478873,0.985948478,0.195518868,0.264150943,0.422169811,0.118160377,0.14009434,0.774292453,0.046226415,0.098349057,0.070283019,0.010849057,0.383722076,76616,0.035928144,0.449,0.071557971,0.090490155,1503,0.734530938,0.1875,0.132450331,0.02807971,0.072233267,0.237243207,0.305168986,0.25944334,0.087806494,0.027833002,0.010271703,0.14784689,0.515789474,0.228708134,0.055980861,0.051674641,0.898908401,0.043189369,0,0.018035121,1622,0.073366215,0.535595476,0.464404524,1689,453600,1990,1990 to 1999,2008,2012,1995
25009211402,6159,1520.155692,1.00684262,0.236726741,0.144666342,0.42247118,0.196135736,0.029550252,0.944471505,0.010391297,0.010228933,0.025328787,0.009579477,0.107119418,98264,0.010407632,0.4,0,0.040822072,2306,0.714223764,0.136612022,0,0.010928962,0.041619543,0.190002262,0.324813391,0.308075096,0.1192038,0.012893011,0.003392898,0.152531646,0.42943038,0.31835443,0.082278481,0.017405063,0.898542101,0.027670336,0,0.013983933,2512,0.082006369,0.178230703,0.821769297,972,374500,1962,1960 to 1969,2002,2009,2000
25009212100,9514,707.0788228,0.706241033,0.19287366,0.228295144,0.412444818,0.166386378,0.09733025,0.841917175,0.028484339,0.01513559,0.098066008,0.01513559,0.280518085,106326,0.050122678,0.4595,0.037162162,0.056007227,2853,0.726253067,0.107625483,0.12371134,0.057432432,0.085387853,0.285478052,0.268490679,0.210312688,0.114101022,0.028412508,0.007817198,0.104068858,0.444705269,0.31637976,0.097026604,0.03781951,0.897782064,0.012295082,0.004098361,0,2936,0.028269755,0.148264984,0.851735016,1805,441900,1981,1980 to 1989,2003,2012,2002
25009213100,8198,348.0191913,1.034748076,0.24371798,0.11563796,0.475847768,0.164796292,0.05403757,0.929738961,0,0.033666748,0.014027812,0.02256648,0.134255235,153578,0.009988901,0.4024,0.020512821,0.060087719,2703,0.865704772,0.049145299,0.559322034,0.036752137,0.022499135,0.137937002,0.21426099,0.354101765,0.189165801,0.060920734,0.021114573,0.069430052,0.329015544,0.411917098,0.122279793,0.067357513,0.871210341,0.02279671,0,0.003760282,2718,0.005518764,0.019237884,0.980762116,779,607000,1977,1970 to 1979,2001,2000,2001
25009214100,6434,539.6274706,1.099869452,0.240596829,0.107087348,0.420733603,0.231582219,0.079110973,0.944979795,0.000621697,0.026732981,0.010724277,0.016008704,0.106183138,128283,0.021495746,0.3878,0,0.043915828,2233,0.772055531,0.033062645,0,0,0.03233612,0.195776507,0.208534976,0.273427189,0.17949846,0.075230972,0.035195777,0.068627451,0.418417367,0.369397759,0.118347339,0.025210084,0.910252211,0.011136587,0,0.00589584,2273,0.017597888,0.077026422,0.922973578,,552900,1965,1960 to 1969,2001,2011,2000
25009215101,5014,621.0785517,0.950213925,0.27163941,0.176904667,0.423015556,0.128440367,0.134423614,0.85201436,0.016154767,0.106302353,0.014758676,0.00638213,0.262292545,136279,0.017682927,0.435,0.080028329,0.051752922,1640,0.86097561,0.046033994,0.170212766,0,0.018026276,0.089825848,0.155820348,0.382218148,0.269477544,0.047662695,0.036969141,0.103896104,0.447552448,0.258741259,0.135364635,0.054445554,0.807538803,0.05631929,0,0.019955654,1787,0.082260772,0.171341463,0.828658537,1081,596300,1971,1970 to 1979,2002,2012,1999
25009215102,3122,510.8527414,1.037859008,0.278987828,0.144138373,0.410954516,0.165919283,0.039077514,0.962524023,0,0.002242152,0.014413837,0.01665599,0.073334719,85952,0,0.4167,0.050707547,0.03034134,1114,0.761220826,0.126179245,0,0.038915094,0.025480769,0.128846154,0.260096154,0.320673077,0.185096154,0.063461538,0.016346154,0.115102639,0.469208211,0.190615836,0.18914956,0.035923754,0.753957784,0.092348285,0,0.040237467,1269,0.12214342,0.178635548,0.821364452,1177,434800,1951,1950 to 1959,2000,2011,1997
25009216100,5135,670.296071,1.339407745,0.186368062,0.371762415,0.288023369,0.153846154,0.067964946,0.908471276,0.014995131,0.027458617,0.036806232,0.009542356,0.172346413,99375,0.010799136,0.5063,0.016016016,0.039416634,1389,0.719222462,0.078078078,0,0,0.007682976,0.158107562,0.162151233,0.398706025,0.206227254,0.034371209,0.03275374,0.236869748,0.368172269,0.214285714,0.153886555,0.026785714,0.615384615,0.045552213,0.003437903,0.140094542,1449,0.041407867,0.120950324,0.879049676,978,534100,1960,1960 to 1969,2002,2012,2001
